ball,bowler_batsman,result,commentary,length,line
111.4,"Hazlewood to Siraj, OUT",W,"bowled him. Hazlewood gets his five-for. Full, at the base of leg stump, and Siraj backs away, has a big slog at it, and misses",Full,Leg Stump
111.3,"Hazlewood to Siraj, no run",â€¢,"now he steps to the off side to try and swat the short, off-stump ball towards fine leg. Second time he's tried it in two overs. The idea is right but again he fails to connect",Short,Off Stump
111.2,"Hazlewood to Siraj, no run",â€¢,"off-stump yorker, makes a lot of room and slaps it to deep point. Decides to keep the strike himself, which makes sense now.",Yorker,Outside Off
111.1,"Hazlewood to Siraj, FOUR runs",4,"shot! Gets leg-side of the bouncer and keeps his eye on it, manages to make contact with the ramp and it goes over the slips, too fine for third man to do anything about it",Short,Outside Off
110.6,"Starc to Natarajan, no run",â€¢,"another yorker, this time it tails in late and hits low down on the front pad. Appeals, but not with a lot of conviction, because it's going down leg",Yorker,Leg Stump
110.5,"Starc to Natarajan, no run",â€¢,"full now, at the stumps, and Natarajan keeps his eye on it and jams his bat down to keep it out. Inside edge into pad",Full,Leg Stump
110.4,"Starc to Natarajan, no run",â€¢,"short, angling down leg, jumps across and manages to get out of the way",Short,Leg Stump
110.3,"Starc to Natarajan, no run",â€¢,"back of a length close to off stump, backs away and tries to stab at it, can't connect",Good,Off Stump
110.2,"Starc to Natarajan, no run",â€¢,"short again, angling further in towards his elbow, manages to fend at it and keep it down in front of short leg",Short,Leg Stump
110.1,"Starc to Natarajan, no run",â€¢,"short, rising steeply over off stump. Backs away again, has a swish at it, and misses",Short,Off Stump
109.6,"Hazlewood to Siraj, 2 runs",2,"shot. Not off the middle, but these are important runs. Makes a lot of room again, and Hazlewood goes to a fuller length on off stump. Scooped over mid-off, and they run two. Leaves Natarajan on strike for the next over, though",Full,Off Stump
109.5,"Hazlewood to Siraj, no run",â€¢,"short over off stump, backs away to the leg side and swings mightily across the line, can't connect",Short,Off Stump
109.4,"Hazlewood to Natarajan, 1 run",1,"off the mark! Shortish on off stump, makes room and plays a tennis forehand to the left of mid-off",Short,Off Stump
109.3,"Hazlewood to Natarajan, no run",â€¢,half appeal for caught behind after Natarajan backs to the leg-side and pokes at a rising ball over off stump. Went past his glove,Unknown,Off Stump
109.2,"Hazlewood to Siraj, 1 run",1,"yorker just outside off, makes a lot of room and stabs it to deep point",Yorker,Outside Off
109.1,"Hazlewood to Siraj, no run",â€¢,"good thinking from Siraj, steps across to the off side this time, looking to hoick the shortish off-stumpish ball towards fine leg. Can't connect, however",Short,Off Stump
108.6,"Starc to Natarajan, no run",â€¢,"greeted by a short ball first up, at his body. Backs away, almost turns his back on the ball, and offers a single-handed jab at it. Manages to keep it out and keep it down",Short,Off Stump
108.5,"Starc to Sundar, OUT",W,"gone, another excellent catch from Green at gully. Good ball from Starc, short and angling sharply into Washington. Got caught in two minds, between swaying away and trying to ramp it over gully, ended up doing the latter without a whole lot of conviction, and Green dives to his left to complete the catch. Superb innings on debut, he's brought the deficit down to 41. He's just 21, and there's so much time for him to expand on his sound batting and bowling fundamentals",Short,Outside Off
108.4,"Starc to Sundar, no run",â€¢,"ooh, a bit of late inswing as Starc fires in a middle-stump yorker. Watches it carefully and jabs it back to the bowler",Yorker,Middle Stump
108.3,"Starc to Sundar, no run",â€¢,"short ball gets up to just above chest height on off stump. Rides the bounce with both feet off the ground and defends with soft hands, right by his feet",Short,Off Stump
108.2,"Starc to Sundar, no run",â€¢,"short, angling down leg, can't connect with the flick off the hip",Short,Off Stump
108.1,"Starc to Sundar, 2 runs",2,"back of a length outside off, and that's excellent from Sundar, taps it towards deep point, but doesn't hit it too hard, and calls immediately for two because the fielder has to come in a long way off the rope",Good,Outside Off
107.6,"Hazlewood to Siraj, 2 runs",2,backs away again and Hazlewood follows him with a back-of-a-length ball. Carved away over the cover region without quite middling it,Good,Outside Off
